Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения
"Temporary2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!IgrRu";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!!'ИГРАЕМ ВМЕСТЕ' ЖЕЛЕЗНЫЕ ДОРОГИ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ГАЗ. ГАЗЕЛЬ ЭВАКУАТОР ДПС+МАШИНКА 12СМ, В РУСС. КОР. в кор.2*36шт";"";"SBT-SB-16-42-T1-WB";"RUB";"370,00";"1";"";"";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ГАЗ. ГАЗЕЛЬ ЭВАКУАТОР ДПС+МАШИНКА 12СМ, ОТКРЫВ. ДВЕРИ В РУСС. КОР. в кор.2*36шт";"";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ГАЗ. ГАЗЕЛЬ ЭВАКУАТОР ДПС+МАШИНКА 12СМ, В РУСС. КОР. в кор.2*36шт";"";"";"mashina-tekhnopark-metall-inerts-gaz-gazel-evakuator-dpsmashinka-12sm-v-russ-kor-v-kor236sht-sbt-814490810";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/221264_c.jpg";"http://img.simba-trade.ru/site1/a221264_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ГАЗ. ГАЗЕЛЬ ГРУЗОВЫЕ ПЕРЕВОЗКИ 12СМ, В РУСС. КОР. в кор.2*36шт";"";"SBT-SB-16-42-K4-WB";"RUB";"270,00";"1";"";"";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ГАЗ. ГАЗЕЛЬ ГРУЗОВЫЕ ПЕРЕВОЗКИ 12СМ, ОТКРЫВ. ДВЕРИ В РУСС. КОР. в кор.2*36шт";"";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ГАЗ. ГАЗЕЛЬ ГРУЗОВЫЕ ПЕРЕВОЗКИ 12СМ, В РУСС. КОР. в кор.2*36шт";"";"";"mashina-tekhnopark-metall-inerts-gaz-gazel-gruzovye-perevozki-12sm-v-russ-kor-v-kor236sht-sbt-1311676613";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/221263_c.jpg";"http://img.simba-trade.ru/site1/a221263_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ГАЗ. ГАЗЕЛЬ ВООРУЖЕННЫЕ СИЛЫ 12СМ, В РУСС. КОР. в кор.2*36шт";"";"SBT-SB-16-42-K3-WB";"RUB";"270,00";"1";"";"";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ГАЗ. ГАЗЕЛЬ ВООРУЖЕННЫЕ СИЛЫ 12СМ, ОТКРЫВ. ДВЕРИ В РУСС. КОР. в кор.2*36шт";"";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ГАЗ. ГАЗЕЛЬ ВООРУЖЕННЫЕ СИЛЫ 12СМ, В РУСС. КОР. в кор.2*36шт";"";"";"mashina-tekhnopark-metall-inerts-gaz-gazel-vooruzhennye-sily-12sm-v-russ-kor-v-kor236sht-sbt-1647106092";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/221262_c.jpg";"http://img.simba-trade.ru/site1/a221262_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ГАЗ. ГАЗЕЛЬ ПОЛИЦИЯ 12СМ, ОТКРЫВ. ДВЕРИ В РУСС. КОР. в кор.2*36шт";"";"SBT-SB-16-42-K2-WB";"RUB";"270,00";"1";"";"";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ГАЗ. ГАЗЕЛЬ ПОЛИЦИЯ 12СМ, ОТКРЫВ. ДВЕРИ В РУСС. КОР. в кор.2*36шт Газель – это грузовой автомобиль высокой проходимости. Этот грузовичок сравнительно небольших размеров, однако послужил людям хорошую службу, его повсеместно использовали милиция и военные, а также в грузоперевозках он был просто незаменим. Коллекционная металлическая модель Газель «Милиция» будет частью коллекции машинок, если ваш ребенок их собирает, или же станет прекрасным дополнением, если у него имеется собственный игрушечный город с дорожными развязками. Эта машинка встанет в милицейский гараж, чтобы охранять порядок в игрушечном городе. Есть инерционный механизм, а так же открываются двери и кузов. Сделана из прочного высококачественного материала. Размер 12 см. В процессе игры с набором кроха разовьет мелкую моторику рук, а также координацию движений и фантазию. Рекомендовано детям от 3-х лет.";"";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ГАЗ. ГАЗЕЛЬ ПОЛИЦИЯ 12СМ, ОТКРЫВ. ДВЕРИ В РУСС. КОР. в кор.2*36шт";"";"";"mashina-tekhnopark-metall-inerts-gaz-gazel-politsiya-12sm-otkryv-dveri-v-russ-kor-v-kor236sht-sbt-28349807";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/221261_c.jpg";"http://img.simba-trade.ru/site1/a221261_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"МАШИНА 'ТЕХНОПАРК' ИНЕРЦ. АВТОВАЗ. ЛАДА ГРАНТА ТАКСИ 12СМ, ОТКРЫВ. ДВЕРИ В РУСС. КОР. в кор.2*24шт";"";"SBT-SB-16-41-T";"RUB";"270,00";"1";"";"";"МАШИНА 'ТЕХНОПАРК' ИНЕРЦ";"МАШИНА 'ТЕХНОПАРК' ИНЕРЦ. АВТОВАЗ. ЛАДА ГРАНТА ТАКСИ 12СМ, ОТКРЫВ. ДВЕРИ И БАГАЖНИК В РУСС. КОР. в кор.2*24шт";"";"МАШИНА 'ТЕХНОПАРК' ИНЕРЦ. АВТОВАЗ. ЛАДА ГРАНТА ТАКСИ 12СМ, ОТКРЫВ. ДВЕРИ В РУСС. КОР. в кор.2*24шт";"";"";"mashina-tekhnopark-inerts-avtovaz-lada-granta-taksi-12sm-otkryv-dveri-v-russ-kor-v-kor224sht-sbt-1710206238";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/223658_c.jpg";"http://img.simba-trade.ru/site1/a223658_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"МАШИНА 'ТЕХНОПАРК' ИНЕРЦ. АВТОВАЗ. ЛАДА ГРАНТА ПОЛИЦИЯ 12СМ, ОТКРЫВ. ДВЕРИ В РУСС. КОР. в кор.2*24шт";"";"SBT-SB-16-41-P";"RUB";"270,00";"1";"";"";"МАШИНА 'ТЕХНОПАРК' ИНЕРЦ";"МАШИНА 'ТЕХНОПАРК' ИНЕРЦ. АВТОВАЗ. ЛАДА ГРАНТА ПОЛИЦИЯ 12СМ, ОТКРЫВ. ДВЕРИ И БАГАЖНИК В РУСС. КОР. в кор.2*24шт";"";"МАШИНА 'ТЕХНОПАРК' ИНЕРЦ. АВТОВАЗ. ЛАДА ГРАНТА ПОЛИЦИЯ 12СМ, ОТКРЫВ. ДВЕРИ В РУСС. КОР. в кор.2*24шт";"";"";"mashina-tekhnopark-inerts-avtovaz-lada-granta-politsiya-12sm-otkryv-dveri-v-russ-kor-v-kor224sht-sbt-1515592828";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/223657_c.jpg";"http://img.simba-trade.ru/site1/a223657_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"МОДЕЛЬ РСЗО ТОПОЛЬ 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. С РАКЕТОЙ ОТКРЫВ. ДВЕРИ В РУСС. КОР. 15СМ в кор.2*36шт";"";"SBT-SB-16-20-G-WB";"RUB";"342,54";"1";"";"";"МОДЕЛЬ РСЗО ТОПОЛЬ 'ТЕХНОПАРК' МЕТАЛЛ";"МОДЕЛЬ РСЗО ТОПОЛЬ 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. С РАКЕТОЙ ОТКРЫВ. ДВЕРИ В РУСС. КОР. 15СМ в кор.2*36шт Реалистичная металлическая копия военного РСЗО Тополь — прекрасная находка для любого мальчишки, увлекающегося техникой. Машина оснащена инерционным механизмом, позволяющим ей двигаться 'своим ходом'.Открываются двери, капот, поворачивается ракета. Корпус модели металлический. Помимо игровой, игрушка имеет коллекционную ценность. Размер 15 см. Развивает фантазию и мелкую моторику рук. Рекомендовано детям от 3-х лет.";"";"МОДЕЛЬ РСЗО ТОПОЛЬ 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. С РАКЕТОЙ ОТКРЫВ. ДВЕРИ В РУСС. КОР. 15СМ в кор.2*36шт";"";"";"model-rszo-topol-tekhnopark-metall-inerts-s-raketoy-otkryv-dveri-v-russ-kor-15sm-v-kor236sht-sbt-1834768400";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/221258_c.jpg";"http://img.simba-trade.ru/site1/a221258_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"МОДЕЛЬ РСЗО ТОПОЛЬ 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. С РАКЕТОЙ ОТКРЫВ. ДВЕРИ В РУСС. КОР. 15СМ в кор.2*36шт";"";"SBT-SB-16-20-M-WB";"RUB";"342,54";"1";"";"";"МОДЕЛЬ РСЗО ТОПОЛЬ 'ТЕХНОПАРК' МЕТАЛЛ";"МОДЕЛЬ РСЗО ТОПОЛЬ 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. С РАКЕТОЙ ОТКРЫВ. ДВЕРИ В РУСС. КОР. 15СМ в кор.2*36шт Реалистичная металлическая копия военного РСЗО Тополь — прекрасная находка для любого мальчишки, увлекающегося техникой. Машина оснащена инерционным механизмом, позволяющим ей двигаться 'своим ходом'.Открываются двери, капот, поворачивается ракета. Корпус модели металлический. Помимо игровой, игрушка имеет коллекционную ценность. Размер 15 см. Развивает фантазию и мелкую моторику рук. Рекомендовано детям от 3-х лет.";"";"МОДЕЛЬ РСЗО ТОПОЛЬ 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. С РАКЕТОЙ ОТКРЫВ. ДВЕРИ В РУСС. КОР. 15СМ в кор.2*36шт";"";"";"model-rszo-topol-tekhnopark-metall-inerts-s-raketoy-otkryv-dveri-v-russ-kor-15sm-v-kor236sht-sbt-368368282";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/221259_c.jpg";"http://img.simba-trade.ru/site1/a221259_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ГАЗ ЧАЙКА, ОТКРЫВ. ДВЕРИ 6410/6410E В РУСС. КОР. в кор.3*36шт";"";"SBT-X600-H09083-R";"RUB";"287,10";"1";"";"";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ГАЗ ЧАЙКА, ОТКРЫВ. ДВЕРИ 6410/6410E В РУСС. КОР. в кор.3*36шт Миниатюрная копия Газ - Чайка порадует каждого ребёнка и обратит на себя внимание взрослого коллекционера реалистичностью исполнения и функциональностью. Прочный корпус машины выполнен из металла, некоторые элементы (салон автомобиля) изготовлены из качественного пластика. Миниатюрная копия выполнена с высокой степенью детализации, что непременно заинтересует коллекционеров масштабных моделей. Игрушка имеет открывающиеся передние двери, что добавляет ей реалистичности. Автомобиль снабжён инерционным механизмом, благодаря чему способен проехать большое расстояние после лёгкого толчка вперед. Играя с моделями машины, мальчишки изучают их внешние особенности, расширяя свой кругозор, а устраивая импровизированные гонки – совершенствуют мелкую моторику рук и развивают фантазию и воображение. Рекомендовано детям от 3-х лет.";"";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ГАЗ ЧАЙКА, ОТКРЫВ. ДВЕРИ 6410/6410E В РУСС. КОР. в кор.3*36шт";"";"";"mashina-tekhnopark-metall-inerts-gaz-chayka-otkryv-dveri-64106410e-v-russ-kor-v-kor336sht-sbt-1198591398";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/188076_c.jpg";"http://img.simba-trade.ru/site1/a188076_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ГАЗ ЧАЙКА ТАКСИ, ОТКРЫВ. ДВЕРИ 6410/6410F В РУСС. КОР в кор.3*36шт";"";"SBT-X600-H09084-R";"RUB";"287,10";"1";"";"";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ГАЗ ЧАЙКА ТАКСИ, ОТКРЫВ. ДВЕРИ 6410/6410F В РУСС. КОР в кор.3*36шт Мальчишки невероятные фантазёры, они обожают придумывать и разыгрывать остросюжетные сцены с погонями. Миниатюрная копия Газ - Чайка с дизайном «Такси» порадует каждого ребёнка и обратит на себя внимание взрослого коллекционера реалистичностью исполнения и функциональностью. Прочный корпус машины выполнен из металла, некоторые элементы (салон автомобиля) изготовлены из качественного пластика. Миниатюрная копия выполнена с высокой степенью детализации, что непременно заинтересует коллекционеров масштабных моделей. Игрушка имеет открывающиеся передние двери, что добавляет ей реалистичности. Автомобиль снабжён инерционным механизмом, благодаря чему способен проехать большое расстояние после лёгкого толчка вперед. Играя с моделями машины, мальчишки изучают их внешние особенности, расширяя свой кругозор, а устраивая импровизированные гонки – совершенствуют мелкую моторику рук и развивают фантазию и воображение. Рекомендовано детям от 3-х лет.";"";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ГАЗ ЧАЙКА ТАКСИ, ОТКРЫВ. ДВЕРИ 6410/6410F В РУСС. КОР в кор.3*36шт";"";"";"mashina-tekhnopark-metall-inerts-gaz-chayka-taksi-otkryv-dveri-64106410f-v-russ-kor-v-kor336sht-sbt-271474793";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/188077_c.jpg";"http://img.simba-trade.ru/site1/a188077_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"КРАН 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. 12СМ 6510C В РУСС. КОР. в кор.4*24шт";"";"";"RUB";"";"1";"";"";"КРАН 'ТЕХНОПАРК' МЕТАЛЛ";"КРАН 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. 12СМ 6510C В РУСС. КОР. в кор.4*24шт Кран - это прекрасный выбор для мальчика, потому что коллекция его спецтехники пополнится, а дополнительные возможности сделают игру очень интересной! Кран с инерционным механизмом, отведя машинку назад и отпустив, она устремится вперед. Сделана из прочного высококачественного металла. Является коллекционной моделью. Размер 12 см. В процессе игры с набором кроха разовьет мелкую моторику рук, а также координацию движений и фантазию. Рекомендовано детям от 3-х лет.";"";"КРАН 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. 12СМ 6510C В РУСС. КОР. в кор.4*24шт";"";"";"kran-tekhnopark-metall-inerts-12sm-6510c-v-russ-kor-v-kor424sht-sbt-1545454269";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/201611_c.jpg";"http://img.simba-trade.ru/site1/a201611_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"МУСОРОВОЗ 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. 12СМ, ОТКРЫВ. БАК 6512A В РУСС. КОР. в кор.4*24шт";"";"SBT-X600-H09093-R";"RUB";"287,10";"1";"";"";"МУСОРОВОЗ 'ТЕХНОПАРК' МЕТАЛЛ";"МУСОРОВОЗ 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. 12СМ, ОТКРЫВ. БАК 6512A В РУСС. КОР. в кор.4*24шт Металлическая инерционная машинка Мусоровоза - это точная копия существующей машины. Модель выполнена в ярком оранжевом цвете. Такой автомобиль станет отличным подарком для любого мальчишки. При помощи инерционного механизма модель может двигаться самостоятельно, нужно  только оттянуть его немного назад, и он устремится вперёд.Играя, ребёнок сможет придумать не только множество разнообразных игр, но и развить двигательную активность рук, воображение и фантазию. Модель имеет открывающийся бак; наличие деталей из уплотнённого пластика. Развивает фантазию и мелкую моторику рук. Размер 12 см. Рекомендовано детям от 3-х лет.";"";"МУСОРОВОЗ 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. 12СМ, ОТКРЫВ. БАК 6512A В РУСС. КОР. в кор.4*24шт";"";"";"musorovoz-tekhnopark-metall-inerts-12sm-otkryv-bak-6512a-v-russ-kor-v-kor424sht-sbt-426168226";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/201613_c.jpg";"http://img.simba-trade.ru/site1/a201613_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ПОЛИЦИЯ РОССИИ 12СМ, ОТКРЫВ. КУЗОВ 6513D В РУСС. КОР. в кор.4*24шт";"";"SBT-X600-H09100-R";"RUB";"287,10";"1";"";"";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ПОЛИЦИЯ РОССИИ 12СМ, ОТКРЫВ. КУЗОВ 6513D В РУСС. КОР. в кор.4*24шт Коллекционная модель выполнена точной миниатюрной копией Урал «Полиция». Автомобиль имеет литой металлический корпус, который долго будет радовать совей долговечностью. Функциональные колёса автомобиля выполнены из резины. Салон модели выполнен из качественного пластика. Игрушка снабжена инерционным механизмом, позволяющим придавать ей ускорение. Подробное детальное исполнение и внимание ко всем мелочам делает модель интересной для коллекционирования. Игрушка позволяет придумать разнообразные игровые сюжеты, делает игру более увлекательной, тренирует мелкую моторику пальцев рук, координацию движений, развивает фантазию и воображение ребёнка. Длина машинки: 12 см. (масштаб 1:48). Рекомендовано детям от 3-х лет.";"";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ПОЛИЦИЯ РОССИИ 12СМ, ОТКРЫВ. КУЗОВ 6513D В РУСС. КОР. в кор.4*24шт";"";"";"mashina-tekhnopark-metall-inerts-politsiya-rossii-12sm-otkryv-kuzov-6513d-v-russ-kor-v-kor424sht-sbt-421404495";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/201616_c.jpg";"http://img.simba-trade.ru/site1/a201616_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"ПОЖАРНАЯ МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. 12СМ 6514A В РУСС. КОР. в кор.4*24шт";"";"SBT-X600-H09101-R";"RUB";"287,10";"1";"";"";"ПОЖАРНАЯ МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ";"ПОЖАРНАЯ МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. 12СМ 6514A В РУСС. КОР. в кор.4*24шт Инерционная машинка представляет собой машину пожарной службы с краном. Изготовлена из металла с элементами пластика и может стать как хорошей игрушкой для ребенка, так и пополнить коллекцию металлических машинок. Благодаря инерционному механизму, машинка может ездить сама – с такой игрушкой можно придумать интересные сюжетные игры. Развивает фантазию и мелкую моторику рук. Размер 12 см. Рекомендовано детям от 3-х лет.";"";"ПОЖАРНАЯ МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. 12СМ 6514A В РУСС. КОР. в кор.4*24шт";"";"";"pozharnaya-mashina-tekhnopark-metall-inerts-12sm-6514a-v-russ-kor-v-kor424sht-sbt-1993617802";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/201617_c.jpg";"http://img.simba-trade.ru/site1/a201617_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ГАЗ ЧАЙКА МИЛИЦИЯ, ОТКРЫВ. ДВЕРИ 6410D В РУСС. КОР. в кор.3*36шт";"";"SBT-X600-H09082-R";"RUB";"287,10";"1";"";"";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ГАЗ ЧАЙКА МИЛИЦИЯ, ОТКРЫВ. ДВЕРИ 6410D В РУСС. КОР. в кор.3*36шт Мальчишки невероятные фантазёры, они обожают придумывать и разыгрывать остросюжетные сцены с погонями и преследованиями преступников. Миниатюрная копия Газ - Чайка с дизайном «Милиция» порадует каждого ребёнка и обратит на себя внимание взрослого коллекционера реалистичностью исполнения и функциональностью. Игрушка выполнена в виде точной масштабной копии автомобиля ГАЗ - Милиция. На крыше машины установлены проблесковые маячки. Прочный корпус машины выполнен из металла, некоторые элементы (салон автомобиля) изготовлены из качественного пластика. Миниатюрная копия выполнена с высокой степенью детализации, что непременно заинтересует коллекционеров масштабных моделей. Игрушка имеет открывающиеся передние двери, что добавляет ей реалистичности. Автомобиль снабжён инерционным механизмом, благодаря чему способен проехать большое расстояние после лёгкого толчка вперед. Играя с моделями машины, мальчишки изучают их внешние особенности, расширяя свой кругозор, а устраивая импровизированные гонки – совершенствуют мелкую моторику рук и развивают фантазию и воображение. Рекомендовано детям от 3-х лет.";"";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. ГАЗ ЧАЙКА МИЛИЦИЯ, ОТКРЫВ. ДВЕРИ 6410D В РУСС. КОР. в кор.3*36шт";"";"";"mashina-tekhnopark-metall-inerts-gaz-chayka-militsiya-otkryv-dveri-6410d-v-russ-kor-v-kor336sht-sbt-1794205035";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/188075_c.jpg";"http://img.simba-trade.ru/site1/a188075_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. НИВА, ОТКРЫВ. ДВЕРИ 6400C В РУСС. КОР. в кор.2*72шт";"";"SBT-X600-H09011-R";"RUB";"249,90";"1";"";"";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. НИВА, ОТКРЫВ. ДВЕРИ 6400C В РУСС. КОР. в кор.2*72шт При выборе машинки для ребенка родители должны учитывать не собственные предпочтения, а интересы крохи. Поэтому, если ваш малыш проявляет небывалый интерес к небольшим моделям российских автомобилей, то ему обязательно понравится эта реалистичная копия транспортного средства модели Лада. Эта яркая игрушка напоминает миниатюрную копию транспортного средства модели Лада с мигалкой на крыше. Машинка окрашена в цвет хаки и дополнена реалистичным номерным знаком, а также имитацией дворников на лобовом стекле. Двери Лады открываются, поэтому дети смогут рассмотреть в деталях салон и сиденья. Транспортное средство можно катать по ровной поверхности благодаря инерционному механизму, активируемому оттягиванием игрушки назад. У машины широкие рельефные колеса, поэтому она реалистично ездит по поверхности и преодолевает препятствия. Компактные размеры игрушки позволяют крохе брать ее с собой на прогулку или в гости к друзьям. Лада выполнена из металла, поэтому ребенок может не боятся за ее сохранность в случае падения или удара. Игры с машинкой помогут детям развить мелкую моторику рук, а также фантазию при придумывании сюжета развлечения. Рекомендовано детям от 3-х лет.";"";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. НИВА, ОТКРЫВ. ДВЕРИ 6400C В РУСС. КОР. в кор.2*72шт";"";"";"mashina-tekhnopark-metall-inerts-niva-otkryv-dveri-6400c-v-russ-kor-v-kor272sht-sbt-367134790";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/187205_c.jpg";"http://img.simba-trade.ru/site1/a187205_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. УРАЛ БУДКА ОМОН СЕР. КАМУФ. 12СМ, ОТКРЫВ. ДВЕРИ В КОР в кор.2*24шт";"";"";"RUB";"";"1";"";"";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. УРАЛ БУДКА ОМОН СЕР. КАМУФ. 12СМ, ОТКРЫВ. ДВЕРИ В РУСС. КОР. в кор.2*24шт";"";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. УРАЛ БУДКА ОМОН СЕР. КАМУФ. 12СМ, ОТКРЫВ. ДВЕРИ В КОР в кор.2*24шт";"";"";"mashina-tekhnopark-metall-inerts-ural-budka-omon-ser-kamuf-12sm-otkryv-dveri-v-kor-v-kor224sht-sbt-1723402220";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/222681_c.jpg";"http://img.simba-trade.ru/site1/a222681_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. УРАЛ РАКЕТА ВС СЕР. КАМУФ. 12СМ, ОТКРЫВ. ДВЕРИ В КОР. в кор.2*24шт";"";"SBT-SB-16-49-B-WB";"RUB";"270,00";"1";"";"";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. УРАЛ РАКЕТА ВС СЕР. КАМУФ. 12СМ, ОТКРЫВ. ДВЕРИ В РУСС. КОР. в кор.2*24шт";"";"МАШИНА 'ТЕХНОПАРК' МЕТАЛЛ. ИНЕРЦ. УРАЛ РАКЕТА ВС СЕР. КАМУФ. 12СМ, ОТКРЫВ. ДВЕРИ В КОР. в кор.2*24шт";"";"";"mashina-tekhnopark-metall-inerts-ural-raketa-vs-ser-kamuf-12sm-otkryv-dveri-v-kor-v-kor224sht-sbt-2019978954";"";"";"";"";"";"";"http://img.simba-trade.ru/site1/222689_c.jpg";"http://img.simba-trade.ru/site1/a222689_c.jpg";"";"";"";"";"";"";"";"";"";"";"";"";""
