Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения
"Набор геометрических пуговиц цвет и форма (20шт.) RNToys";"";"RS-Д-637";"RUB";"812,50";"1";"";"";"";"от 3 лет";"";"Набор геометрических пуговиц цвет и форма (20шт.) RNToys";"";"";"nabor-geometricheskikh-pugovits-tsvet-i-forma-20sht-rntoys---rs-d-637";"";"";"- - - - -";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Didaktica/%d0%94-637-300.jpg"
"Мозаика детская цветная 4 поля";"";"RS-Д-306";"RUB";"937,50";"1";"";"";"";"от 3 лет";"";"Мозаика детская цветная 4 поля";"";"";"mozaika-detskaya-tsvetnaya-4-polya-rs-d-306";"";"";"30х30х15 см";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Didaktica/%d0%94-306-300.jpg"
"Змейка тактильная для малышей";"";"RS-Д-684";"RUB";"181,25";"1";"";"";"";"от 3 лет";"";"Змейка тактильная для малышей";"";"";"zmeyka-taktilnaya-dlya-malyshey--rs-d-684";"";"";"- - - - -";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Didaktica/%d0%94-684-300.jpg"
"Времена года деревья (10 шт)";"";"RS-Д-643";"RUB";"212,50";"1";"";"";"";"от 3 лет";"";"Времена года деревья (10 шт)";"";"";"vremena-goda-derevya-10-sht----rs-d-643";"";"";"- - - - -";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Didaktica/%d0%94-643-300.jpg"
"!!Доски под роспись";"";"";"";"";"";"";"";"";"<h1>Доски под роспись</h1>
        <p>Изделия из массива липы для росписи и выжигания</p>";"";"";"";"";"";"";"";"";"";"";""
"Доска под роспись с контуром Собачка";"";"RS-Д-381";"RUB";"81,25";"1";"";"";"";"от 1 года";"";"Доска под роспись с контуром Собачка";"";"";"doska-pod-rospis-s-konturom-sobachka--rs-d-381";"";"";"- - - - -";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/DoskiPodRospis/%d0%94-381-300.jpg"
"Доска под роспись с контуром Рыбка";"";"RS-Д-477";"RUB";"81,25";"1";"";"";"";"от 3 лет";"";"Доска под роспись с контуром Рыбка";"";"";"doska-pod-rospis-s-konturom-rybka--rs-d-477";"";"";"21,5x12x1";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/DoskiPodRospis/%d0%b4-477-300.jpg"
"Доска под роспись с контуром Мишка";"";"RS-Д-382";"RUB";"81,25";"1";"";"";"";"от 3 лет";"";"Доска под роспись с контуром Мишка";"";"";"doska-pod-rospis-s-konturom-mishka--rs-d-382";"";"";"16,5х20,5 см";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/DoskiPodRospis/%d0%94-382-300.jpg"
"Доска под роспись с контуром Машинка";"";"RS-Д-480";"RUB";"81,25";"1";"";"";"";"от 3 лет";"";"Доска под роспись с контуром Машинка";"";"";"doska-pod-rospis-s-konturom-mashinka--rs-d-480";"";"";"20,5x13,5x1";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/DoskiPodRospis/%d0%b4-480-300.jpg"
"Доска под роспись с контуром Котик";"";"RS-Д-380";"RUB";"81,25";"1";"";"";"";"от 3 лет";"";"Доска под роспись с контуром Котик";"";"";"doska-pod-rospis-s-konturom-kotik--rs-d-380";"";"";"15,5х20,5 см";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/DoskiPodRospis/%d0%94-380-300.jpg"
"Доска под роспись с контуром Кораблик";"";"RS-Д-479";"RUB";"81,25";"1";"";"";"";"от 3 лет";"";"Доска под роспись с контуром Кораблик";"";"";"doska-pod-rospis-s-konturom-korablik-rs-d-479";"";"";"19x12,5x1";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/DoskiPodRospis/%d0%b4-479-300.jpg"
"Доска под роспись с контуром Зайка";"";"RS-Д-379";"RUB";"81,25";"1";"";"";"";"от 3 лет";"";"Доска под роспись с контуром Зайка";"";"";"doska-pod-rospis-s-konturom-zayka--rs-d-379";"";"";"14х20,5 см";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/DoskiPodRospis/%d0%94-379-300.jpg"
"Доска под роспись кухонная круглая 15см диаметр";"";"RS-Д-549";"RUB";"71,25";"1";"";"";"";"от 1 года";"";"Доска под роспись кухонная круглая 15см диаметр";"";"";"doska-pod-rospis-kukhonnaya-kruglaya-15sm-diametr----rs-d-549";"";"";"D=15см";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/DoskiPodRospis/%d0%94-549-300.jpg"
"Доска под роспись кухонная 15*22";"";"RS-Д-419";"RUB";"71,25";"1";"";"";"";"от 1 года";"";"Доска под роспись кухонная 15*22";"";"";"doska-pod-rospis-kukhonnaya-1522--rs-d-419";"";"";"22,5x15x1";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/DoskiPodRospis/%d0%b4-419-300.jpg"
"!!Изделия под роспись";"";"";"";"";"";"";"";"";"<h1>Изделия под роспись</h1>
        <p>Деревянные игрушки под роспись</p>";"";"";"";"";"";"";"";"";"";"";""
"Яйцо под роспись с подставкой";"";"RS-Д-065";"RUB";"45,00";"1";"";"";"";"от 3 лет";"";"Яйцо под роспись с подставкой";"";"";"yaytso-pod-rospis-s-podstavkoy----rs-d-065";"";"";"- - - - -";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Izdelia%20pod%20rospis/%d0%94-065-300.jpg"
"Яйцо 5 в 1 под роспись";"";"RS-Д-019";"RUB";"181,25";"1";"";"";"";"от 3 лет";"";"Яйцо 5 в 1 под роспись";"";"";"yaytso-5-v-1-pod-rospis-rs-d-019";"";"";"13х15 см";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Izdelia%20pod%20rospis/D_019_300.jpg"
"Шар 5 в 1 под роспись";"";"RS-Д-035";"RUB";"181,25";"1";"";"";"";"от 3 лет";"";"Шар 5 в 1 под роспись";"";"";"shar-5-v-1-pod-rospis-rs-d-035";"";"";"13х105см";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Izdelia%20pod%20rospis/D_035_300.jpg"
"Цилиндрики стакан (5 в 1)";"";"RS-Д-020";"RUB";"102,50";"1";"";"";"";"от 3 лет";"";"Цилиндрики стакан (5 в 1)";"";"";"tsilindriki-stakan-5-v-1-rs-d-020";"";"";"8х12 см";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Izdelia%20pod%20rospis/D_020_300.jpg"
"Набор под роспись Весенний букет";"";"RS-Д-708";"RUB";"140,00";"1";"";"";"";"Развитие навыков художественного творчества";"";"Набор под роспись Весенний букет";"";"";"nabor-pod-rospis-vesenniy-buket--rs-d-708";"";"";"- - - - -";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Izdelia%20pod%20rospis/%d0%94-708-300.jpg"
"Ложка под роспись";"";"RS-Д-323";"RUB";"36,50";"1";"";"";"";"от 3 лет";"";"Ложка под роспись";"";"";"lozhka-pod-rospis---rs-d-323";"";"";"13х107см";"";"Россия";"";"http://www.rntoys.com/Content/Images/Products/RNToys/Izdelia%20pod%20rospis/%d0%94-323-300.jpg"
