Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"Тип товаров""META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;"Возраст детей";Страна-производитель;Материал;Изображения
"Temporary2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!LavaToys";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"!!Бегемоты";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Божья коровка в штанишках малая";"";"LVS-8462A";"RUB";"319";"1";"";"";"";"Издает звук «Бабочки, стрекозы закружились» при нажатии на игрушку";"";"Божья коровка в штанишках малая";"";"";"bozhya-korovka-v-shtanishkakh-malaya-lvs-8462a";"";"";"Высота: 20 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/2b/33/2b33251cc49ce6ad5ba7a40e61fb6436.jpg"
"Божья коровка";"";"LVS-8008";"RUB";"199";"1";"399";"";"";"Издает звук «Я увидеть мир хочу» при нажатии на игрушку";"";"Божья коровка";"";"";"bozhya-korovka-lvs-8008";"";"";"Высота: 17 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/6c/c8/6cc8c604fdf16ec043a2e93d057128b4.jpg"
"Бабочка малая";"";"LVS-8595";"RUB";"299";"1";"399";"";"";"Издает звук «Я увидеть мир хочу» при нажатии на игрушку";"";"Бабочка малая";"";"";"babochka-malaya-lvs-8595";"";"";"Высота: 18,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/e2/e8/e2e87aa8a3b0590580a815f58e08f8d5.jpg"
"!!Олени";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Оленёнок";"";"LVS-8660";"RUB";"139";"1";"339";"";"";"Издает звук «Лето» при нажатии на игрушку";"";"Оленёнок";"";"";"olenёnok-lvs-8660";"";"";"Высота: 22 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/df/dc/dfdcb8c8676d7f470120b224a0fbb565.jpg"
"!!Панды";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Панда сидящая";"";"LVS-380";"RUB";"499";"1";"";"";"";"Издает звук «Возьми меня на ручки» при нажатии на игрушку";"";"Панда сидящая";"";"";"panda-sidyashchaya-lvs-380";"";"";"Высота: 22 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/4e/9d/4e9db9e6ee5f7b5b82d00906b45f01f0.jpg"
"Панда с малышом стоящая малая";"";"LVS-8026A";"RUB";"399";"1";"899";"";"";"Издает звук «Спи, дружочек, баю-бай» при нажатии на игрушку";"";"Панда с малышом стоящая малая";"";"";"panda-s-malyshom-stoyashchaya-malaya-lvs-8026a";"";"";"Высота: 29 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/2d/d5/2dd538c4ceb0c96544c4e197d0ca3a39.jpg"
"Панда с малышом сидящая";"";"LVS-8013";"RUB";"399";"1";"799";"";"";"Издает звук «Спи, дружочек, баю-бай» при нажатии на игрушку";"";"Панда с малышом сидящая";"";"";"panda-s-malyshom-sidyashchaya-lvs-8013";"";"";"Высота: 24 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/37/ac/37acdb63984ae7876a050431add914f6.jpg"
"Панда в маечке с бамбуком";"";"LVS-873B";"RUB";"499";"1";"";"";"";"Издает звук «Хорошо уметь читать» при нажатии на игрушку";"";"Панда в маечке с бамбуком";"";"";"panda-v-maechke-s-bambukom-lvs-873b";"";"";"Высота: 22 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/f6/8c/f68ce94070b0057a0b843ca17fbbea85.jpg"
"!!Петухи";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Петушок мини";"";"LVS-1281s";"RUB";"29";"1";"149";"";"";"Издает звук  при нажатии на игрушку";"";"Петушок мини";"";"";"petushok-mini-lvs-1281s";"";"";"Высота: 13 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/a2/32/a2320adfab6e49d712db1b693a1cc083.jpg"
"Курочка Полинка";"";"LVS-1275";"RUB";"69";"1";"299";"";"";"Издает звук «Если встанешь рано утром» при нажатии на игрушку";"";"Курочка Полинка";"";"";"kurochka-polinka-lvs-1275";"";"";"Высота: 19 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/3d/9e/3d9e157ca1ab0cf35d03db4e0d48b62f.jpg"
"Курочка мини";"";"LVS-8851s";"RUB";"19";"1";"169";"";"";"Издает звук  при нажатии на игрушку";"";"Курочка мини";"";"";"kurochka-mini-lvs-8851s";"";"";"Высота: 12 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/b1/63/b1632a00b24a3c28580e708a23051b2c.jpg"
"!!Поросята";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Свинка с поросятами";"";"LVS-8298";"RUB";"399";"1";"699";"";"";"Издает звук «Люли-люли-люленьки» при нажатии на игрушку";"";"Свинка с поросятами";"";"";"svinka-s-porosyatami-lvs-8298";"";"";"Высота: 27 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/ab/42/ab4296634575c65ef34c681cda89cdc8.jpg"
"Свинка Дуняша с бантиком";"";"LVS-8588";"RUB";"199";"1";"499";"";"";"Издает звук «Ой, потеха (смех)» при нажатии на игрушку";"";"Свинка Дуняша с бантиком";"";"";"svinka-dunyasha-s-bantikom-lvs-8588";"";"";"Высота: 19 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/b1/aa/b1aa9541bcd467ce4eb6b349ddb8fb00.jpg"
"Поросёнок в комбинезоне";"";"LVS-1007";"RUB";"299";"1";"499";"";"";"Издает звук «Возьми меня на ручки» при нажатии на игрушку";"";"Поросёнок в комбинезоне";"";"";"porosёnok-v-kombinezone-lvs-1007";"";"";"Высота: 19,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/1f/a6/1fa6e021bf98c96bb970450f1858079d.jpg"
"!!Птицы";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Утка с утёнком пушистая";"";"LVS-002A";"RUB";"299";"1";"599";"";"";"Издает звук «Где твоя ложечка?» при нажатии на игрушку";"";"Утка с утёнком пушистая";"";"";"utka-s-utёnkom-pushistaya-lvs-002a";"";"";"Высота: 23 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/36/bf/36bf14f3606942e45dbe38a987f570c1.jpg"
"Утка пушистая";"";"LVS-1091";"RUB";"299";"1";"549";"";"";"Издает звук «Радуга» при нажатии на игрушку";"";"Утка пушистая";"";"";"utka-pushistaya-lvs-1091";"";"";"Высота: 26 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/28/7c/287c7f363b3d14259edc127af04c99ec.jpg"
"Страус пушистый";"";"LVS-426";"RUB";"299";"1";"599";"";"";"Издает звук «Радуга» при нажатии на игрушку";"";"Страус пушистый";"";"";"straus-pushistyy-lvs-426";"";"";"Высота: 28 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/91/56/9156d78945a164082c8b4f800573f0ec.jpg"
"Сова Агата";"";"LVS-1189";"RUB";"399";"1";"599";"";"";"Издает звук «Спи, дружочек, баю-бай» при нажатии на игрушку";"";"Сова Агата";"";"";"sova-agata-lvs-1189";"";"";"Высота: 20 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/6e/32/6e32f94938e94dd7062150517a915477.jpg"
"Попугай Ара";"";"LVS-1247";"RUB";"369";"1";"";"";"";"Издает звук «Воздушный шарик» при нажатии на игрушку";"";"Попугай Ара";"";"";"popugay-ara-lvs-1247";"";"";"Высота: 24 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/07/cf/07cfff66f2aaa2c2a1d39254d57bc65a.jpg"
"Попугай";"";"LVS-1192";"RUB";"199";"1";"399";"";"";"Издает звук «Воздушный шарик» при нажатии на игрушку";"";"Попугай";"";"";"popugay-lvs-1192";"";"";"Высота: 21 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/81/3c/813c053a3de2473892714c16852c57d9.jpg"
"Пингвинёнок Мими";"";"LVS-1246";"RUB";"399";"1";"";"";"";"Издает звук «Где твоя ложечка?» при нажатии на игрушку";"";"Пингвинёнок Мими";"";"";"pingvinёnok-mimi-lvs-1246";"";"";"Высота: 24 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/05/61/0561f334f9e3208e5b9da9aa68af4b54.jpg"
"Пингвинёнок";"";"LVS-8716";"RUB";"299";"1";"469";"";"";"Издает звук «В зоопарк спешите дети» при нажатии на игрушку";"";"Пингвинёнок";"";"";"pingvinёnok-lvs-8716";"";"";"Высота: 18 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/61/e2/61e28531aa6475788657f16c878e1685.jpg"
"Пингвин в наушниках";"";"LVS-1109";"RUB";"369";"1";"569";"";"";"Издает звук «Считалочка» при нажатии на игрушку";"";"Пингвин в наушниках";"";"";"pingvin-v-naushnikakh-lvs-1109";"";"";"Высота: 23 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/40/55/40552aba3f2fa67810ab53266f7a4af1.jpg"
"!!Слоны";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Слоник с цветами";"";"LVS-8670";"RUB";"299";"1";"499";"";"";"Издает звук «Букетик для тебя» при нажатии на игрушку";"";"Слоник с цветами";"";"";"slonik-s-tsvetami-lvs-8670";"";"";"Высота: 21 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/f2/66/f2669dc884af42ab9d8468592fd45ef9.jpg"
"Слоник с веночком";"";"LVS-805";"RUB";"399";"1";"599";"";"";"Издает звук «Милый слон» при нажатии на игрушку";"";"Слоник с веночком";"";"";"slonik-s-venochkom-lvs-805";"";"";"Высота: 24 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/9e/70/9e703c9333cf27f45bb9db0271f47237.jpg"
"Слоник декоративный";"";"LVS-877";"RUB";"299";"1";"499";"";"";"Издает звук «Надо буквы изучать» при нажатии на игрушку";"";"Слоник декоративный";"";"";"slonik-dekorativnyy-lvs-877";"";"";"Высота: 21 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/96/e9/96e9490bed7e2ac6bd9e0b6fd0ffaf91.jpg"
"Слоник в маечке";"";"LVS-878";"RUB";"299";"1";"499";"";"";"Издает звук «Милый слон» при нажатии на игрушку";"";"Слоник в маечке";"";"";"slonik-v-maechke-lvs-878";"";"";"Высота: 21,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/f3/28/f328a75e4c3fde5e571c139adb4a22ee.jpg"
"Слоник в кофточке";"";"LVS-8573";"RUB";"299";"1";"499";"";"";"Издает звук «В зоопарк спешите дети» при нажатии на игрушку";"";"Слоник в кофточке";"";"";"slonik-v-koftochke-lvs-8573";"";"";"Высота: 22 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/29/45/2945d04a3062cc61a8bf8df627b626df.jpg"
"Слонёнок в футболке";"";"LVS-720";"RUB";"249";"1";"499";"";"";"Издает звук «Считалочка» при нажатии на игрушку";"";"Слонёнок в футболке";"";"";"slonёnok-v-futbolke-lvs-720";"";"";"Высота: 20 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/52/6a/526abf445bfdd34a37454c0ec42b75aa.jpg"
"Слонёнок в ползунках";"";"LVS-484";"RUB";"299";"1";"599";"";"";"Издает звук «Где твоя ложечка?» при нажатии на игрушку";"";"Слонёнок в ползунках";"";"";"slonёnok-v-polzunkakh-lvs-484";"";"";"Высота: 23 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/33/fc/33fc5f14761dd375b95812b1002aa764.jpg"
"!!Собаки";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Щенок Шарик";"";"LVS-746";"RUB";"469";"1";"669";"";"";"Издает звук «Щенок с косточкой» при нажатии на игрушку";"";"Щенок Шарик";"";"";"shchenok-sharik-lvs-746";"";"";"Высота: 22,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/57/53/5753426543fa1d1e37e5a8ece0cf0f66.jpg"
"Щенок Тимоша";"";"LVS-1234";"RUB";"299";"1";"499";"";"";"Издает звук «Тяф, тяф, тяф, скорей вставайте» при нажатии на игрушку";"";"Щенок Тимоша";"";"";"shchenok-timosha-lvs-1234";"";"";"Высота: 20 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/c6/f9/c6f914c9c30dae5d52c950bd356b141e.jpg"
"Щенок танцующий";"";"LVS-8764s";"RUB";"369";"1";"639";"";"";"Издает звук «Собачий вальс» при нажатии на игрушку";"";"Щенок танцующий";"";"";"shchenok-tantsuyushchiy-lvs-8764s";"";"";"Высота: 15 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/4e/d5/4ed5818f92988c78f2636c6786fb9a50.jpg"
"Щенок с шарфом";"";"LVS-953";"RUB";"319";"1";"499";"";"";"Издает звук «Тяф, тяф, тяф, скорей вставайте» при нажатии на игрушку";"";"Щенок с шарфом";"";"";"shchenok-s-sharfom-lvs-953";"";"";"Высота: 21 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/25/3a/253a23df23f804552260a5eca0f9b4a7.jpg"
"Щенок с ошейником";"";"LVS-1002";"RUB";"369";"1";"599";"";"";"Издает звук «Лаем весело встречаю» при нажатии на игрушку";"";"Щенок с ошейником";"";"";"shchenok-s-osheynikom-lvs-1002";"";"";"Высота: 24 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/cb/1c/cb1c9717d555e4f9e65569f7f0808597.jpg"
"Щенок с лохматыми ушками стоящий";"";"LVS-1063";"RUB";"399";"1";"599";"";"";"Издает звук «Щенок растёт» при нажатии на игрушку";"";"Щенок с лохматыми ушками стоящий";"";"";"shchenok-s-lokhmatymi-ushkami-stoyashchiy-lvs-1063";"";"";"Высота: 23 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/0f/e1/0fe187f31b13b47f54f9fe65d0624282.jpg"
"Щенок с лохматыми ушками";"";"LVS-479";"RUB";"399";"1";"599";"";"";"Издает звук «Тяф, тяф, тяф, скорей вставайте» при нажатии на игрушку";"";"Щенок с лохматыми ушками";"";"";"shchenok-s-lokhmatymi-ushkami-lvs-479";"";"";"Высота: 23 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/fd/db/fddb0cf5fd16543bcb3e6a9c9cb8e3a4.jpg"
"Щенок Рекс";"";"LVS-1027";"RUB";"369";"1";"569";"";"";"Издает звук «Щенок с косточкой» при нажатии на игрушку";"";"Щенок Рекс";"";"";"shchenok-reks-lvs-1027";"";"";"Высота: 20 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/30/16/301609b72b2574c100d818854302616b.jpg"
"Щенок коричневый сидящий";"";"LVS-8782";"RUB";"239";"1";"339";"";"";"Издает звук «Щенок растёт» при нажатии на игрушку";"";"Щенок коричневый сидящий";"";"";"shchenok-korichnevyy-sidyashchiy-lvs-8782";"";"";"Высота: 17 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/86/61/866147e9688d1aa482883c67abed105c.jpg"
"Щенок Дружок";"";"LVS-1018";"RUB";"339";"1";"469";"";"";"Издает звук «Тяф, тяф, тяф, скорей вставайте» при нажатии на игрушку";"";"Щенок Дружок";"";"";"shchenok-druzhok-lvs-1018";"";"";"Высота: 19 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/43/e5/43e545f864e7318ae0d2bc216865355f.jpg"
"Щенок двухцветный";"";"LVS-1013";"RUB";"399";"1";"799";"";"";"Издает звук «Тяф, тяф, тяф, скорей вставайте» при нажатии на игрушку";"";"Щенок двухцветный";"";"";"shchenok-dvukhtsvetnyy-lvs-1013";"";"";"Высота: 35 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/0c/6a/0c6aeba81a477923cf8ee139e9f6e3ab.jpg"
"Щенок Грэй";"";"LVS-1237";"RUB";"399";"1";"499";"";"";"Издает звук «Щенок растёт» при нажатии на игрушку";"";"Щенок Грэй";"";"";"shchenok-grey-lvs-1237";"";"";"Высота: 20 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/50/41/5041e1888eaf20c0dffc449121802763.jpg"
"Щенок";"";"LVS-1243s";"RUB";"269";"1";"369";"";"";"Издает звук «Лаем весело встречаю» при нажатии на игрушку";"";"Щенок";"";"";"shchenok-lvs-1243s";"";"";"Высота: 14 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/3d/87/3d877870c96de68ee3c562f45fdacdb7.jpg"
"Чихуахуа Мона";"";"LVS-1252";"RUB";"299";"1";"429";"";"";"Издает звук «Ой, потеха (смех)» при нажатии на игрушку";"";"Чихуахуа Мона";"";"";"chikhuakhua-mona-lvs-1252";"";"";"Высота: 22 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/ff/a8/ffa88b4a0fce9d8c9c7219ac1c5b7360.jpg"
"Хаски сидящий малый";"";"LVS-1271";"RUB";"539";"1";"";"";"";"Издает звук «Лаем весело встречаю» при нажатии на игрушку";"";"Хаски сидящий малый";"";"";"khaski-sidyashchiy-malyy-lvs-1271";"";"";"";"";"";"";"http://www.lavatoys.ru/media/thumbs/c5/39/c539da556c9dbaa9347276d4874484f9.jpg"
"Хаски малый";"";"LVS-1251";"RUB";"299";"1";"439";"";"";"Издает звук «Лаем весело встречаю» при нажатии на игрушку";"";"Хаски малый";"";"";"khaski-malyy-lvs-1251";"";"";"Высота: 18 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/6c/db/6cdb90c75493812d1ab6a4d29fffec35.jpg"
"Фокстерьер стоящий";"";"LVS-8143";"RUB";"299";"1";"599";"";"";"Издает звук «Тяф, тяф, тяф, скорей вставайте» при нажатии на игрушку";"";"Фокстерьер стоящий";"";"";"foksterer-stoyashchiy-lvs-8143";"";"";"Высота: 22 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/64/95/649587a226cd51d0a7d463dbcbb425a7.jpg"
"Такса в кофточке";"";"LVS-8711";"RUB";"239";"1";"369";"";"";"Издает звук «Лаем весело встречаю» при нажатии на игрушку";"";"Такса в кофточке";"";"";"taksa-v-koftochke-lvs-8711";"";"";"Высота: 17 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/18/a6/18a6cf68c1bdbc733897f18f2d65c7a8.jpg"
"Собачка смешная большая";"";"LVS-8025B";"RUB";"349";"1";"699";"";"";"Издает звук «Лаем весело встречаю» при нажатии на игрушку";"";"Собачка смешная большая";"";"";"sobachka-smeshnaya-bolshaya-lvs-8025b";"";"";"Высота: 30 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/d8/5d/d85db599492d8be19461de497a7dc3d0.jpg"
"Собачка Джули";"";"LVS-1242";"RUB";"299";"1";"599";"";"";"Издает звук «Лаем весело встречаю» при нажатии на игрушку";"";"Собачка Джули";"";"";"sobachka-dzhuli-lvs-1242";"";"";"Высота: 20 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/5f/6d/5f6d55bb4171010ac00990f271b229fc.jpg"
"Сенбернар нежный";"";"LVS-525";"RUB";"469";"1";"599";"";"";"Издает звук «Тяф, тяф, тяф, скорей вставайте» при нажатии на игрушку";"";"Сенбернар нежный";"";"";"senbernar-nezhnyy-lvs-525";"";"";"Высота: 22 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/71/2e/712e7cd0708a3327624f57fc78d4fe33.jpg"
"Сенбернар малый";"";"LVS-1026";"RUB";"299";"1";"469";"";"";"Издает звук «Тяф, тяф, тяф, скорей вставайте» при нажатии на игрушку";"";"Сенбернар малый";"";"";"senbernar-malyy-lvs-1026";"";"";"Высота: 19 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/09/bf/09bf3e8b667f0945b8fc22ed966574e8.jpg"
"Пудель стоящий в одежде";"";"LVS-8774";"RUB";"319";"1";"399";"";"";"Издает звук «Щенок растёт» при нажатии на игрушку";"";"Пудель стоящий в одежде";"";"";"pudel-stoyashchiy-v-odezhde-lvs-8774";"";"";"Высота: 21 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/e0/13/e0138b88e26ecdd68d86bfc9de0fd053.jpg"
"Пудель сидящий";"";"LVS-8615";"RUB";"369";"1";"499";"";"";"Издает звук «Тяф, тяф, тяф, скорей вставайте» при нажатии на игрушку";"";"Пудель сидящий";"";"";"pudel-sidyashchiy-lvs-8615";"";"";"Высота: 23 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/bc/7d/bc7d094fc6479b9babc6ba44f41ca6e9.jpg"
"Пудель с бантиками";"";"LVS-8531";"RUB";"269";"1";"369";"";"";"Издает звук «Щенок растёт» при нажатии на игрушку";"";"Пудель с бантиками";"";"";"pudel-s-bantikami-lvs-8531";"";"";"Высота: 21 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/39/fa/39fa0bda8b111f2144b90b6769b23028.jpg"
"Пудель пушистый натуральный";"";"LVS-1146";"RUB";"369";"1";"539";"";"";"Издает звук «Тяф, тяф, тяф, скорей вставайте» при нажатии на игрушку";"";"Пудель пушистый натуральный";"";"";"pudel-pushistyy-naturalnyy-lvs-1146";"";"";"Высота: 24 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/d6/d6/d6d669f8c8aa063e855d27444d930c30.jpg"
"Пудель пушистый";"";"LVS-1087";"RUB";"439";"1";"699";"";"";"Издает звук «Тяф, тяф, тяф, скорей вставайте» при нажатии на игрушку";"";"Пудель пушистый";"";"";"pudel-pushistyy-lvs-1087";"";"";"Высота: 26 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/23/54/2354116046fe8dfb4dcdd2f4f9d4b6bf.jpg"
"Пудель";"";"LVS-8751";"RUB";"299";"1";"699";"";"";"Издает звук «Тяф, тяф, тяф, скорей вставайте» при нажатии на игрушку";"";"Пудель";"";"";"pudel-lvs-8751";"";"";"Высота: 26 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/2b/eb/2bebf3659712133db755978eacebc9eb.jpg"
"Пинчер";"";"LVS-1142";"RUB";"199";"1";"429";"";"";"Издает звук «Лаем весело встречаю» при нажатии на игрушку";"";"Пинчер";"";"";"pincher-lvs-1142";"";"";"Высота: 22 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/bc/23/bc23cecb0634987af7db596544a007de.jpg"
"Пёс в жилетке";"";"LVS-1135";"RUB";"299";"1";"499";"";"";"Издает звук «Щенок с косточкой» при нажатии на игрушку";"";"Пёс в жилетке";"";"";"pёs-v-zhiletke-lvs-1135";"";"";"Высота: 21 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/58/c4/58c49575b846cd53cede2ea1f9ef0685.jpg"
"Далматин малый";"";"LVS-8785";"RUB";"239";"1";"339";"";"";"Издает звук «Лаем весело встречаю» при нажатии на игрушку";"";"Далматин малый";"";"";"dalmatin-malyy-lvs-8785";"";"";"Высота: 16 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/a2/be/a2bee726efa4f11ebf8ac422c876c1fb.jpg"
"Далматин лежащий";"";"LVS-1224";"RUB";"349";"1";"699";"";"";"Издает звук «Тяф, тяф, тяф, скорей вставайте» при нажатии на игрушку";"";"Далматин лежащий";"";"";"dalmatin-lezhashchiy-lvs-1224";"";"";"Высота: 30 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/da/e5/dae5d9cdfe97fa4fa81743cac433caf4.jpg"
"Волк-модник";"";"LVS-571";"RUB";"599";"1";"899";"";"";"Издает звук «Друг такой мне очень нужен» при нажатии на игрушку";"";"Волк-модник";"";"";"volk-modnik-lvs-571";"";"";"Высота: 29,5 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/e0/0a/e00ab0b3c6147bf304d831469c47ec81.jpg"
"Бульдог стоящий";"";"LVS-1272";"RUB";"299";"1";"499";"";"";"Издает звук «Лаем весело встречаю» при нажатии на игрушку";"";"Бульдог стоящий";"";"";"buldog-stoyashchiy-lvs-1272";"";"";"Высота: 22 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/08/b7/08b7f743fcf7198475a35b6049249996.jpg"
"Бульдог";"";"LVS-1238";"RUB";"469";"1";"669";"";"";"Издает звук «Щенок растёт» при нажатии на игрушку";"";"Бульдог";"";"";"buldog-lvs-1238";"";"";"Высота: 22 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/6d/74/6d74e903d07170edec3831fb2f77d3c3.jpg"
"Бигль";"";"LVS-1233";"RUB";"299";"1";"599";"";"";"Издает звук «Тяф, тяф, тяф, скорей вставайте» при нажатии на игрушку";"";"Бигль";"";"";"bigl-lvs-1233";"";"";"Высота: 27 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/95/74/9574762b29f99435fc0b936fad3a036e.jpg"
"!!Солнце";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Солнышко с хвостиками";"";"LVS-8230";"RUB";"199";"1";"299";"";"";"Издает звук «Солнышку все рады» при нажатии на игрушку";"";"Солнышко с хвостиками";"";"";"solnyshko-s-khvostikami-lvs-8230";"";"";"Высота: 27 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/c1/b7/c1b7f1089077666336d68f0ccc6740d5.jpg"
"Солнце";"";"LVS-8069";"RUB";"199";"1";"299";"";"";"Издает звук «Солнышку все рады» при нажатии на игрушку";"";"Солнце";"";"";"solntse-lvs-8069";"";"";"Высота: 27 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/37/eb/37ebcdd979b685e0f728ec48b94f538d.jpg"
"!!Сурикаты";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Сурикат";"";"LVS-8790";"RUB";"199";"1";"479";"";"";"Издает звук «В зоопарк спешите дети» при нажатии на игрушку";"";"Сурикат";"";"";"surikat-lvs-8790";"";"";"Высота: 26 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/c0/59/c0594b6452bcf8014e9e75c0378ca7ac.jpg"
"!!Суслики";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Суслик";"";"LVS-1256";"RUB";"299";"1";"399";"";"";"Издает звук «Ой, потеха (смех)» при нажатии на игрушку";"";"Суслик";"";"";"suslik-lvs-1256";"";"";"Высота: 21 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/3e/7b/3e7bcf914e8a5f3680b6b8a44f968398.jpg"
"!!Тигры";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Тигрёнок-игрун";"";"LVS-8479";"RUB";"299";"1";"439";"";"";"Издает звук «Буду бегать за хвостом» при нажатии на игрушку";"";"Тигрёнок-игрун";"";"";"tigrёnok-igrun-lvs-8479";"";"";"Высота: 18 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/7a/6c/7a6cad7f702642502cb304b1d7cd3e7a.jpg"
"Тигрёнок стоящий";"";"LVS-1270";"RUB";"299";"1";"";"";"";"Издает звук «Чудесная страна» при нажатии на игрушку";"";"Тигрёнок стоящий";"";"";"tigrёnok-stoyashchiy-lvs-1270";"";"";"Высота: 17 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/c1/20/c12086c6257b83dbf861c8959736cd90.jpg"
"Тигрёнок Рома малый";"";"LVS-908A";"RUB";"299";"1";"439";"";"";"Издает звук «В зоопарк спешите дети» при нажатии на игрушку";"";"Тигрёнок Рома малый";"";"";"tigrёnok-roma-malyy-lvs-908a";"";"";"Высота: 19 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/c2/fc/c2fcfddb8f50cd6d73e9246121e7b866.jpg"
"Тигрёнок натуральный";"";"LVS-1184";"RUB";"299";"1";"499";"";"";"Издает звук «В зоопарк спешите дети» при нажатии на игрушку";"";"Тигрёнок натуральный";"";"";"tigrёnok-naturalnyy-lvs-1184";"";"";"Высота: 20 см";"";"";"";"http://www.lavatoys.ru/media/thumbs/34/72/34722b2d27cc56e7b7d9b07004082b2f.jpg"
